,Model_name,Ratings,Customers_rated,RAM,Internal_storage,Display_size,Camera,Battery_mAh,Price,Discount,Final_Price
202,"SAMSUNG Galaxy A10 (Red, 32 GB)",4.4,13098,2.0,32,15.75,13MP Rear Camera | 5MP Front Camera,3400,0,0,8700
203,"SAMSUNG Galaxy J7 Duo (Gold, 32 GB)",4.3,2798,4.0,32,13.97,13MP + 5MP | 8MP Front Camera,3000,0,0,17889
204,"SAMSUNG Galaxy J6 (Gold, 64 GB)",4.5,42223,4.0,64,14.22,13MP Rear Camera | 8MP Front Camera,3000,0,0,14990
205,"SAMSUNG Galaxy S10 Plus (Ceramic White, 1 TB)",4.5,24,12.0,1000,16.26,16MP + 12MP | 10MP + 8MP Dual Front Camera,4100,0,0,117990
206,"SAMSUNG Galaxy J4 Plus (Gold, 32 GB)",4.3,4493,2.0,32,15.24,13MP Rear Camera | 5MP Front Camera,3300,0,0,9499
207,"SAMSUNG Galaxy S10 Plus (Ceramic Black, 512 GB)",4.6,1206,8.0,512,16.26,16MP + 12MP | 10MP + 8MP Dual Front Camera,4100,0,0,91900
208,"SAMSUNG Galaxy On7 (Black, 8 GB)",4.2,191824,1.5,8,13.97,13MP Rear Camera | 5MP Front Camera,3000,0,0,9977
209,"SAMSUNG Galaxy A8 Plus (Gold, 64 GB)",4.2,277,6.0,64,15.24,16MP Rear Camera,3500,0,0,29990
210,"SAMSUNG Galaxy J4 (Gold, 32 GB)",4.2,338,3.0,32,13.97,13MP Rear Camera | 5MP Front Camera,3000,0,0,10990
211,"SAMSUNG Galaxy J6 (Black, 32 GB)",4.4,15792,3.0,32,14.22,13MP Rear Camera | 8MP Front Camera,3000,0,0,12990
212,"SAMSUNG Galaxy A30 (Blue, 64 GB)",4.4,17708,4.0,64,16.26,16MP + 5MP | 16MP Front Camera,4000,0,0,18000
213,"SAMSUNG Galaxy A20 (Black, 32 GB)",4.4,15529,3.0,32,16.26,13MP + 5MP | 8MP Front Camera,4000,12900,10,11490
214,"SAMSUNG Galaxy J6 Plus (Red, 64 GB)",4.3,4948,4.0,64,15.24,13MP + 5MP | 8MP Front Camera,3300,0,0,13600
215,"SAMSUNG Galaxy J2 Pro (Gold, 16 GB)",4.2,7003,2.0,16,12.7,8MP Rear Camera | 5MP Front Camera,2600,0,0,10480
216,"SAMSUNG Galaxy A50 (White, 64 GB)",4.4,11327,6.0,64,16.26,25MP + 5MP + 8MP | 25MP Front Camera,4000,0,0,24000
217,"SAMSUNG Galaxy J5 Prime (Gold, 16 GB)",4.0,1205,2.0,16,12.7,13MP Rear Camera | 5MP Front Camera,2400,0,0,14500
218,"SAMSUNG Galaxy J6 (Blue, 32 GB)",4.4,15792,3.0,32,14.22,13MP Rear Camera | 8MP Front Camera,3000,0,0,12990
219,"SAMSUNG Galaxy J4 (Blue, 16 GB)",4.3,3073,2.0,16,13.97,13MP Rear Camera | 5MP Front Camera,3000,0,0,9500
220,"SAMSUNG Galaxy J7 Duo (Black, 32 GB)",4.3,2798,4.0,32,13.97,13MP + 5MP | 8MP Front Camera,3000,0,0,17962
221,"SAMSUNG Galaxy J5 Prime (Black, 16 GB)",4.0,1205,2.0,16,12.7,13MP Rear Camera | 5MP Front Camera,2400,0,0,14500
222,"SAMSUNG Galaxy J4 (Black, 16 GB)",4.3,3073,2.0,16,13.97,13MP Rear Camera | 5MP Front Camera,3000,0,0,8990
223,"SAMSUNG Galaxy J2 Pro (Black, 16 GB)",4.2,7003,2.0,16,12.7,8MP Rear Camera,2600,0,0,10480
224,"SAMSUNG Galaxy J7 Nxt (Black, 32 GB)",4.3,2227,3.0,32,13.97,13MP Rear Camera | 5MP Front Camera,3000,0,0,14995
225,"SAMSUNG Galaxy J7 Nxt (Black, 16 GB)",4.4,9964,2.0,16,13.97,13MP Rear Camera | 5MP Front Camera,3000,0,0,11995
226,"SAMSUNG Galaxy J8 (Gold, 64 GB)",4.4,19438,4.0,64,15.24,16MP + 5MP | 16MP Front Camera,3500,0,0,19500
227,"SAMSUNG Galaxy A30 (White, 64 GB)",4.4,17708,4.0,64,16.26,16MP + 5MP | 16MP Front Camera,4000,0,0,18000
228,"SAMSUNG Galaxy J7 - 6 (New 2016 Edition) (Black, 16 GB)",4.3,77959,2.0,16,13.97,13MP Rear Camera | 5MP Front Camera,3300,15014,8,13800
229,"SAMSUNG Galaxy J2 2018 (Black, 16 GB)",4.3,7621,2.0,16,12.7,8MP Rear Camera | 5MP Front Camera,2600,0,0,7999
230,"SAMSUNG Galaxy J7 Nxt (Gold, 16 GB)",4.4,9964,2.0,16,13.97,13MP Rear Camera | 5MP Front Camera,3000,0,0,10995
231,"SAMSUNG Galaxy J6 Plus (Black, 64 GB)",4.3,4948,4.0,64,15.24,13MP + 5MP | 8MP Front Camera,3300,0,0,14000
232,"SAMSUNG Galaxy F41 (Fusion Black, 128 GB)",4.3,305200,6.0,128,16.26,64MP + 8MP + 5MP | 32MP Front Camera,6000,20999,30,14499
233,"SAMSUNG Galaxy S9 Plus (Burgundy Red, 64 GB)",4.5,39062,6.0,64,15.75,12MP + 12MP | 8MP Front Camera,3500,0,0,70000
234,"SAMSUNG M02s (Red, 64 GB)",4.2,726,4.0,64,16.51,13MP + 2MP + 2MP | 5MP Front Camera,5000,10490,4,9999
235,"SAMSUNG Galaxy M21 (Midnight Blue, 128 GB)",4.2,1417,6.0,128,16.26,48MP + 8MP + 5MP | 20MP Front Camera,6000,0,0,15499
236,"SAMSUNG Galaxy M02 (Red, 32 GB)",4.1,470,2.0,32,16.64,13MP + 2MP | 5MP Front Camera,5000,7535,0,7475
237,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4.4,6378,8.0,128,17.02,64MP + 12MP + 5MP + 5MP | 32MP Front Camera,4500,34999,21,27499
238,"SAMSUNG Galaxy A32 (Awesome Violet, 128 GB)",4.2,1285,6.0,128,16.26,64MP + 8MP + 5MP + 5MP | 20MP Front Camera,5000,24999,18,20499
239,"SAMSUNG Galaxy M30s (White, 64 GB)",4.3,4133,4.0,64,16.26,48MP Rear Camera | 16MP Front Camera,6000,15500,7,14399
240,"SAMSUNG Galaxy A10s (Blue, 32 GB)",4.4,2601,2.0,32,15.75,13MP + 2MP | 8MP Front Camera,4000,0,0,10000
241,"SAMSUNG Galaxy A10s (Black, 32 GB)",4.4,2601,2.0,32,15.75,13MP + 2MP | 8MP Front Camera,4000,0,0,10000
242,"SAMSUNG Galaxy A70s (Prism Crush White, 128 GB)",4.3,4713,6.0,128,17.02,64MP + 5MP + 8MP | 32MP Front Camera,4500,31000,41,17999
243,"SAMSUNG Z2 (Black, 8 GB)",3.6,12852,1.0,8,10.16,5MP Rear Camera,1500,0,0,4790
244,"SAMSUNG Galaxy A20s (Green, 64 GB)",4.3,1151,4.0,64,16.51,13MP + 8MP + 5MP | 8MP Front Camera,4000,14900,8,13695
245,"SAMSUNG Galaxy S10 Lite (Prism White, 512 GB)",4.5,12693,8.0,512,17.02,48MP + 12MP + 5MP | 32MP Front Camera,4500,51000,9,45999
246,"SAMSUNG Galaxy A7 2016 Edition (Gold, 16 GB)",4.1,1535,3.0,16,13.97,13MP Rear Camera | 5MP Front Camera,3300,0,0,17490
247,"SAMSUNG Galaxy A2 Core (Gold, 16 GB)",4.2,3279,1.0,16,12.7,5MP Rear Camera | 5MP Front Camera,2600,0,0,5900
248,"SAMSUNG Galaxy J1 (4G) (White, 8 GB)",4.0,1645,1.0,8,11.43,5MP Rear Camera | 2MP Front Camera,2050,0,0,7550
249,"SAMSUNG Galaxy M30s (Black, 64 GB)",4.3,4133,4.0,64,16.26,48MP Rear Camera,6000,15500,8,14150
250,"SAMSUNG Galaxy J2 Core (Blue, 16 GB)",4.2,10811,1.0,16,12.7,8MP Rear Camera | 5MP Front Camera,2600,0,0,6999
251,"SAMSUNG Galaxy J2 Core (Gold, 16 GB)",4.2,10811,1.0,16,12.7,8MP Rear Camera | 5MP Front Camera,2600,0,0,6999
252,"SAMSUNG Galaxy M20 (Charcoal Black, 32 GB)",4.3,2021,3.0,32,16.0,13MP Rear Camera,5000,11290,3,10848
253,"SAMSUNG Galaxy M20 (Charcoal Black, 64 GB)",4.3,3328,4.0,64,16.0,13MP Rear Camera,5000,0,0,11990
254,"SAMSUNG Galaxy A70 (Black, 128 GB)",4.3,5303,6.0,128,17.02,32MP + 5MP + 8MP | 32MP Front Camera,4500,0,0,30900
255,"SAMSUNG Galaxy M30s (White, 128 GB)",4.1,715,6.0,128,16.26,48MP + 48MP + 8MP + 5MP | 16MP Front Camera,6000,0,0,16999
256,"SAMSUNG Galaxy A71 (Prism Crush Silver, 128 GB)",4.4,6378,8.0,128,17.02,64MP + 12MP + 5MP + 5MP | 32MP Front Camera,4500,34999,21,27499
257,"SAMSUNG Galaxy M10 (Ocean Blue, 32 GB)",4.3,2237,3.0,32,15.8,13MP Rear Camera,3400,9290,6,8690
258,"SAMSUNG Galaxy J7 Prime 2 (Gold, 32 GB)",4.3,2334,3.0,32,13.97,13MP Rear Camera | 13MP Front Camera,3300,0,0,14990
259,"SAMSUNG Galaxy A70 (Blue, 128 GB)",4.3,5303,6.0,128,17.02,32MP + 5MP + 8MP | 32MP Front Camera,4500,0,0,30900
260,"SAMSUNG Galaxy S10 Lite (Prism Blue, 128 GB)",4.5,12693,8.0,128,17.02,48MP + 12MP + 5MP | 32MP Front Camera,4500,43999,6,40999
261,"SAMSUNG Galaxy A30s (Prism Crush White, 64 GB)",4.3,4275,4.0,64,16.26,25MP + 5MP + 8MP | 16MP Front Camera,4000,18900,15,15899
262,"SAMSUNG Galaxy S21 (Phantom Violet, 256 GB)",4.4,112,8.0,256,15.75,64MP + 12MP + 12MP | 10MP Front Camera,4000,87999,15,73999
263,"SAMSUNG Galaxy Note 10 Plus (Aura Black, 256 GB)",4.6,5191,12.0,256,17.27,12MP (Dual Aperture) + 12MP + 16MP + TOF | 10MP Front Camera,4300,85000,29,59999
264,"SAMSUNG Galaxy Core Prime G361 Dual Sim - White (White, 8 GB)",3.6,17,1.0,8,11.43,5MP Rear Camera | 2MP Front Camera,2000,0,0,7999
265,"SAMSUNG Galaxy A70s (Prism Crush Red, 128 GB)",4.3,4713,6.0,128,17.02,64MP + 5MP + 8MP | 32MP Front Camera,4500,31000,41,17999
266,"SAMSUNG Galaxy J5 - 6 (New 2016 Edition) (Black, 16 GB)",4.2,108281,2.0,16,13.21,13MP Rear Camera | 5MP Front Camera,3100,0,0,10990
267,"SAMSUNG Galaxy J5 - 6 (New 2016 Edition) (White, 16 GB)",4.2,108281,2.0,16,13.21,13MP Rear Camera | 5MP Front Camera,3100,0,0,10990
268,"SAMSUNG Galaxy A70 (White, 128 GB)",4.3,5303,6.0,128,17.02,32MP + 5MP + 8MP | 32MP Front Camera,4500,0,0,30900
269,"SAMSUNG Galaxy S3 Neo (Pebble Blue, 16 GB)",4.2,13441,1.5,16,12.19,8MP Rear Camera | 1.9MP Front Camera,2100,0,0,17000
270,"SAMSUNG Galaxy Star 2 (Iris Charcoal, 4 GB)",3.9,713,0.5,4,8.89,2MP Rear Camera,1300,0,0,4890
271,"SAMSUNG Galaxy M01s  (Light Blue, 32 GB)",4.2,525,3.0,32,15.75,13MP + 2MP | 8MP Front Camera,4000,9330,0,9290
272,"SAMSUNG Galaxy S20+ (Cosmic Black, 128 GB)",4.4,18874,8.0,128,17.02,64 MP + 12 MP +12 MP + VGA Depth Camera | 10MP Front Camera,4500,83000,33,54999
273,"SAMSUNG Galaxy A52 (Awesome Violet, 128 GB)",4.4,460,8.0,128,16.51,64MP + 12MP + 5MP + 5MP | 32MP Front Camera,4500,31999,12,27999
274,"SAMSUNG Galaxy Star Advance (White, 4 GB)",3.8,889,0.5,4,10.92,3MP Rear Camera,1800,0,0,5499
275,"SAMSUNG Galaxy A20s (Black, 32 GB)",4.3,1093,3.0,32,16.51,13MP + 8MP + 5MP | 8MP Front Camera,4000,12900,10,11599
276,"SAMSUNG Galaxy J1 (Blue, 4 GB)",4.0,632,0.5,4,10.92,5MP Rear Camera | 2MP Front Camera,1850,0,0,7454
277,"SAMSUNG Galaxy A51 (Prism Crush White, 128 GB)",4.3,3749,8.0,128,16.51,48MP + 12MP + 5MP + 5MP | 32MP Front Camera,4000,29999,25,22499
278,"SAMSUNG Galaxy A2 Core (Blue, 16 GB)",4.2,3279,1.0,16,12.7,5MP Rear Camera | 5MP Front Camera,2600,0,0,5900
279,"SAMSUNG Galaxy Alpha (Charcoal Black, 32 GB)",3.6,364,2.0,32,11.94,12MP Rear Camera | 2.1MP Front Camera,1860,0,0,22389
280,"SAMSUNG Galaxy A52 (Awesome Black, 128 GB)",4.3,527,6.0,128,16.51,64MP + 12MP + 5MP + 5MP | 32MP Front Camera,4500,30499,13,26499
281,"SAMSUNG Galaxy A2 Core (Dark Gray, 16 GB)",4.2,3279,1.0,16,12.7,5MP Rear Camera | 5MP Front Camera,2600,0,0,5900
282,"SAMSUNG Galaxy Alpha (Frosted Gold, 32 GB)",3.6,364,2.0,32,11.94,12MP Rear Camera | 2.1MP Front Camera,1860,0,0,42000
283,"SAMSUNG Galaxy A50 (White, 64 GB)",4.3,67849,4.0,64,16.26,25MP + 5MP + 8MP | 25MP Front Camera,4000,0,0,21000
284,"SAMSUNG Galaxy A7 2016 Edition (White, 16 GB)",4.1,1535,3.0,16,13.97,13MP Rear Camera | 5MP Front Camera,3300,0,0,20700
285,"SAMSUNG Galaxy A52 (Awesome White, 128 GB)",4.3,527,6.0,128,16.51,64MP + 12MP + 5MP + 5MP | 32MP Front Camera,4500,30499,13,26499
286,"SAMSUNG Galaxy A20s (Green, 32 GB)",4.3,1093,3.0,32,16.51,13MP + 8MP + 5MP | 8MP Front Camera,4000,12900,10,11599
287,"SAMSUNG Galaxy On Nxt (Black, 16 GB)",4.3,365765,3.0,16,13.97,13MP Rear Camera | 8MP Front Camera,3300,0,0,11200
288,"SAMSUNG Galaxy A51 (Prism Crush White, 128 GB)",4.3,9563,6.0,128,16.51,48MP + 12MP + 5MP + 5MP | 32MP Front Camera,4000,25999,19,20999
289,"SAMSUNG Galaxy Note10 Lite (Aura Red, 128 GB)",4.4,411,6.0,128,17.02,12MP + 12MP + 12MP | 32MP Front Camera,4500,43000,11,37999
290,"SAMSUNG Galaxy J1 (4G) (Gold, 8 GB)",4.0,1645,1.0,8,11.43,5MP Rear Camera,2050,0,0,7550
291,"SAMSUNG Galaxy A10s (Green, 32 GB)",4.3,2287,3.0,32,15.75,13MP + 2MP | 8MP Front Camera,4000,0,0,11000
292,"SAMSUNG Galaxy Note 5 (Dual Sim) (Gold Platinum, 32 GB)",4.1,134,4.0,32,14.48,16MP Rear Camera | 5MP Front Camera,3000,0,0,46300
293,"SAMSUNG Galaxy A52 (Awesome White, 128 GB)",4.4,460,8.0,128,16.51,64MP + 12MP + 5MP + 5MP | 32MP Front Camera,4500,31999,12,27999
294,"SAMSUNG Galaxy A52 (Awesome Blue, 128 GB)",4.3,527,6.0,128,16.51,64MP + 12MP + 5MP + 5MP | 32MP Front Camera,4500,30499,13,26499
295,"SAMSUNG Galaxy A9 (Bubblegum Pink, 128 GB)",4.4,913,6.0,128,16.0,24MP + 5MP + 10MP + 8MP | 24MP Front Camera,3800,0,0,36000
296,"SAMSUNG Galaxy A8 (White, 32 GB)",4.2,1216,2.0,32,14.48,16MP Rear Camera | 5MP Front Camera,3050,0,0,33500
297,"SAMSUNG Galaxy Note10 Lite (Aura Glow, 128 GB)",4.4,411,6.0,128,17.02,12MP + 12MP + 12MP | 32MP Front Camera,4500,43000,11,37999
298,"SAMSUNG Galaxy J2 Ace (Silver, 8 GB)",4.1,1228,1.5,8,12.7,8MP Rear Camera | 5MP Front Camera,2600,0,0,8090
299,"SAMSUNG Galaxy Star 2 (White, 4 GB)",3.9,713,0.5,4,8.89,2MP Rear Camera,1300,0,0,4890
300,"SAMSUNG Galaxy A30s (Prism Crush Violet, 64 GB)",4.3,4275,4.0,64,16.26,25MP + 5MP + 8MP | 16MP Front Camera,4000,0,0,18900
301,"SAMSUNG Galaxy Note 5 (Silver, 32 GB)",3.9,380,4.0,32,14.48,16MP Rear Camera | 5MP Front Camera,3000,0,0,56999
302,"SAMSUNG Galaxy On Nxt (Gold, 16 GB)",4.3,365765,3.0,16,13.97,13MP Rear Camera | 8MP Front Camera,3300,0,0,11200
303,"SAMSUNG Galaxy M30s (Black, 128 GB)",4.1,715,6.0,128,16.26,48MP + 48MP + 8MP + 5MP | 16MP Front Camera,6000,0,0,16999
304,"SAMSUNG Galaxy J7 (White, 16 GB)",4.3,40228,1.5,16,13.97,13MP Rear Camera | 5MP Front Camera,3000,0,0,11700
305,"SAMSUNG Galaxy Note 5 (Silver Titanium, 32 GB)",3.9,380,4.0,32,14.48,16MP Rear Camera | 5MP Front Camera,3000,0,0,38900
306,"SAMSUNG Galaxy S Duos 3 (Ceramic White, 4 GB)",4.0,5911,0.5,4,10.16,5MP Rear Camera | 0.3MP Front Camera,1500,0,0,6048
307,"SAMSUNG Galaxy Note 5 (Dual Sim) (Black Sapphire, 32 GB)",4.1,134,4.0,32,14.48,16MP Rear Camera | 5MP Front Camera,3000,0,0,46300
308,"SAMSUNG On7 Pro (Gold, 16 GB)",4.1,1484,2.0,16,13.97,13MP Rear Camera,3000,9499,36,5990
309,"SAMSUNG Galaxy A9 (Lemonade Blue, 128 GB)",4.4,913,6.0,128,16.0,24MP + 5MP + 10MP + 8MP | 24MP Front Camera,3800,0,0,36000
310,"SAMSUNG Galaxy S9 (Midnight Black, 128 GB)",4.4,30544,4.0,128,14.73,12MP Rear Camera | 8MP Front Camera,3000,0,0,61900
311,"SAMSUNG Galaxy Grand 2 (Gold, 8 GB)",4.1,4687,1.5,8,13.34,8MP Rear Camera | 1.9MP Front Camera,2600,0,0,15000
312,"SAMSUNG Galaxy A70s (Prism Crush Black, 128 GB)",4.3,4713,6.0,128,17.02,64MP + 5MP + 8MP | 32MP Front Camera,4500,31000,41,17999
313,"SAMSUNG Galaxy S Duos 3 (Charcoal Grey, 4 GB)",4.0,5911,0.5,4,10.16,5MP Rear Camera | 0.3MP Front Camera,1500,0,0,6499
314,"SAMSUNG Galaxy J5 - 6 (New 2016 Edition) (White, 16 GB)",4.2,108280,2.0,16,13.21,13MP Rear Camera | 5MP Front Camera,3100,0,0,10990
315,"SAMSUNG Galaxy J5 - 6 (New 2016 Edition) (Black, 16 GB)",4.2,108280,2.0,16,13.21,13MP Rear Camera | 5MP Front Camera,3100,0,0,10990
316,"SAMSUNG Galaxy A52 (Awesome White, 128 GB)",4.4,460,8.0,128,16.51,64MP + 12MP + 5MP + 5MP | 32MP Front Camera,4500,31999,12,27999
317,"SAMSUNG Galaxy A9 (Bubblegum Pink, 128 GB)",4.4,913,6.0,128,16.0,24MP + 5MP + 10MP + 8MP | 24MP Front Camera,3800,0,0,36000
318,"SAMSUNG Galaxy J1 (4G) (Gold, 8 GB)",4.0,1645,1.0,8,11.43,5MP Rear Camera,2050,0,0,7550
319,"SAMSUNG Galaxy Note10 Lite (Aura Glow, 128 GB)",4.4,412,6.0,128,17.02,12MP + 12MP + 12MP | 32MP Front Camera,4500,43000,11,37999
320,"SAMSUNG Galaxy A7 2016 Edition (White, 16 GB)",4.1,1535,3.0,16,13.97,13MP Rear Camera | 5MP Front Camera,3300,0,0,20700
321,"SAMSUNG Galaxy Star 2 (White, 4 GB)",3.9,713,0.5,4,8.89,2MP Rear Camera,1300,0,0,4890
322,"SAMSUNG Galaxy Note 5 (Dual Sim) (Gold Platinum, 32 GB)",4.1,134,4.0,32,14.48,16MP Rear Camera | 5MP Front Camera,3000,0,0,46300
323,"SAMSUNG Galaxy A30s (Prism Crush Violet, 64 GB)",4.3,4275,4.0,64,16.26,25MP + 5MP + 8MP | 16MP Front Camera,4000,0,0,18900
324,"SAMSUNG Galaxy Note 5 (Silver, 32 GB)",3.9,380,4.0,32,14.48,16MP Rear Camera | 5MP Front Camera,3000,0,0,56999
325,"SAMSUNG Galaxy On Nxt (Gold, 16 GB)",4.3,365763,3.0,16,13.97,13MP Rear Camera | 8MP Front Camera,3300,0,0,11200
326,"SAMSUNG Galaxy M30s (Black, 128 GB)",4.1,715,6.0,128,16.26,48MP + 48MP + 8MP + 5MP | 16MP Front Camera,6000,0,0,16999
327,"SAMSUNG Galaxy S Duos 3 (Ceramic White, 4 GB)",4.0,5911,0.5,4,10.16,5MP Rear Camera | 0.3MP Front Camera,1500,0,0,6048
328,"SAMSUNG Galaxy Note 5 (Dual Sim) (Black Sapphire, 32 GB)",4.1,134,4.0,32,14.48,16MP Rear Camera | 5MP Front Camera,3000,0,0,46300
329,"SAMSUNG On7 Pro (Gold, 16 GB)",4.1,1484,2.0,16,13.97,13MP Rear Camera,3000,9499,36,5990
330,"SAMSUNG Galaxy A9 (Lemonade Blue, 128 GB)",4.4,913,6.0,128,16.0,24MP + 5MP + 10MP + 8MP | 24MP Front Camera,3800,0,0,36000
331,"SAMSUNG Galaxy S9 (Midnight Black, 128 GB)",4.4,30544,4.0,128,14.73,12MP Rear Camera | 8MP Front Camera,3000,0,0,61900
332,"SAMSUNG Galaxy Grand 2 (Gold, 8 GB)",4.1,4687,1.5,8,13.34,8MP Rear Camera | 1.9MP Front Camera,2600,0,0,15000
333,"SAMSUNG Galaxy On6 (Blue, 64 GB)",4.3,101817,4.0,64,14.22,13MP Rear Camera | 8MP Front Camera,3000,0,0,17600
334,"SAMSUNG Galaxy Note10 Lite (Aura Red, 128 GB)",4.3,1544,8.0,128,17.02,12MP + 12MP + 12MP | 32MP Front Camera,4500,45000,11,39999
335,"SAMSUNG Galaxy Note10 Lite (Aura Red, 128 GB)",4.4,412,6.0,128,17.02,12MP + 12MP + 12MP | 32MP Front Camera,4500,43000,11,37999
336,"SAMSUNG Galaxy J5 (Black, 8 GB)",4.3,24866,1.5,8,12.7,13MP Rear Camera | 5MP Front Camera,2600,0,0,7990
337,"SAMSUNG Galaxy J7 (Gold, 16 GB)",4.3,40228,1.5,16,13.97,13MP Rear Camera | 5MP Front Camera,3000,0,0,11700
338,"SAMSUNG Galaxy J7 Prime 2 (Black, 32 GB)",4.3,2334,3.0,32,13.97,13MP Rear Camera | 13MP Front Camera,3300,0,0,14990
339,"SAMSUNG Galaxy A30s (Prism Crush White, 128 GB)",4.3,4275,4.0,128,16.26,25MP + 5MP + 8MP | 16MP Front Camera,4000,0,0,19900
340,"SAMSUNG Galaxy A7 (Black, 64 GB)",4.4,12915,4.0,64,15.24,24MP + 5MP + 8MP | 24MP Front Camera,3300,0,0,22300
341,"SAMSUNG Galaxy J4 Plus (Blue, 32 GB)",4.3,4493,2.0,32,15.24,13MP Rear Camera | 5MP Front Camera,3300,0,0,9000
342,"SAMSUNG Galaxy J1 (White, 4 GB)",4.0,632,0.5,4,10.92,5MP Rear Camera | 2MP Front Camera,1850,0,0,6190
343,"SAMSUNG Galaxy J2 (Black, 8 GB)",4.1,20388,1.0,8,11.94,5MP Rear Camera | 2MP Front Camera,2000,0,0,7400
344,"SAMSUNG Galaxy A80 (Ghost White, 128 GB)",4.4,5392,8.0,128,17.02,48MP + 8MP | 48MP(F2.0) + 8MP(Ultra Wide/F2.2) + TOF (Time-of-Flight) 3D-Depth Rotating Camera,3700,0,0,29899
345,"SAMSUNG Galaxy Note 10 Plus (Aura Glow, 256 GB)",4.6,5191,12.0,256,17.27,12MP (Dual Aperture) + 12MP + 16MP + TOF | 10MP Front Camera,4300,85000,29,59999
346,"SAMSUNG Galaxy Note 3 (Jet Black, 32 GB)",4.1,4476,3.0,32,14.48,13MP Rear Camera | 2MP Front Camera,3200,0,0,21999
347,"SAMSUNG Galaxy J5 (Gold, 8 GB)",4.3,24866,1.5,8,12.7,13MP Rear Camera | 5MP Front Camera,2600,0,0,10490
348,"SAMSUNG Galaxy J4 Plus (Black, 32 GB)",4.3,4493,2.0,32,15.24,13MP Rear Camera | 5MP Front Camera,3300,0,0,9000
349,"SAMSUNG Tizen Z3 (Silver, 8 GB)",3.3,5190,1.0,8,12.7,8MP Rear Camera | 5MP Front Camera,2600,0,0,5890
350,"SAMSUNG Galaxy S7 Edge (Silver Titanium, 32 GB)",4.4,3840,4.0,32,13.97,12MP Rear Camera | 5MP Front Camera,3600,0,0,41900
351,"SAMSUNG Z1 (White, 4 GB)",3.5,3207,0.8,4,10.16,3.1MP Rear Camera | 0.3MP Front Camera,1500,0,0,3990
352,"SAMSUNG Galaxy A50 (Black, 64 GB)",4.3,67849,4.0,64,16.26,25MP + 5MP + 8MP | 25MP Front Camera,4000,0,0,21000
353,"SAMSUNG Sm-G361Hhadins (Charcoal Gray, 8 GB)",3.0,3,1.0,8,11.43,5MP Rear Camera,2000,0,0,8999
354,"SAMSUNG Galaxy A50 (Blue, 64 GB)",4.3,67849,4.0,64,16.26,25MP + 5MP + 8MP | 25MP Front Camera,4000,0,0,21000
355,"SAMSUNG Galaxy M20 (Ocean Blue, 32 GB)",4.3,2021,3.0,32,16.0,13MP + 5MP | 8MP Front Camera,5000,11290,2,10990
356,"SAMSUNG Galaxy S20 Ultra (Cosmic Black, 128 GB)",4.3,92,12.0,128,17.53,108 MP + 48 MP + 12 MP + VGA Depth Camera | 40MP Front Camera,5000,0,0,103000
357,"SAMSUNG Galaxy S10e (Prism Black, 128 GB)",4.5,675,6.0,128,14.73,16MP + 12MP | 10MP Front Camera,3100,0,0,59000
358,"SAMSUNG Galaxy S10 Lite (Prism White, 128 GB)",4.5,12693,8.0,128,17.02,48MP + 12MP + 5MP | 32MP Front Camera,4500,43999,6,40999
359,"SAMSUNG Galaxy J5 - 6 (New 2016 Edition) (Gold, 16 GB)",4.2,108281,2.0,16,13.21,13MP Rear Camera | 5MP Front Camera,3100,0,0,10990
360,"SAMSUNG Galaxy Note 5 (Silver Titanium, 64 GB)",3.9,380,4.0,64,14.48,16MP Rear Camera | 5MP Front Camera,3000,0,0,39900
361,"SAMSUNG Galaxy S4 Zoom (White, 8 GB)",3.8,216,1.5,8,10.92,16MP Rear Camera | 1.9MP Front Camera,2330,0,0,15990
362,"SAMSUNG Galaxy S6 Edge+ (Gold Platinum, 32 GB)",4.2,159,4.0,32,14.48,16MP Rear Camera | 5MP Front Camera,3000,61988,54,28000
363,"SAMSUNG Galaxy A80 (Angel Gold, 128 GB)",4.4,5392,8.0,128,17.02,48MP + 8MP | 48MP(F2.0) + 8MP(Ultra Wide/F2.2) + TOF (Time-of-Flight) 3D-Depth Rotating Camera,3700,0,0,29998
364,"SAMSUNG Galaxy S7 (Black Onyx, 32 GB)",4.4,31872,4.0,32,12.95,12MP Rear Camera | 5MP Front Camera,3000,0,0,24999
365,"SAMSUNG Galaxy E7 (Blue, 16 GB)",4.3,1424,2.0,16,13.97,13MP Rear Camera | 5MP Front Camera,2950,0,0,18340
366,"SAMSUNG Galaxy S6 Edge (Black, 64 GB)",4.0,1219,3.0,64,12.95,16MP Rear Camera | 5MP Front Camera,2600,0,0,39999
367,"SAMSUNG Galaxy Grand 2 (White, 8 GB)",4.1,4687,1.5,8,13.31,8MP Rear Camera | 1.9MP Front Camera,2600,0,0,10990
368,"SAMSUNG Galaxy Grand Quattro (Ceramic White, 8 GB)",4.0,3152,1.0,8,11.94,5MP Rear Camera | 0.3MP Front Camera,2000,0,0,6999
369,"SAMSUNG Galaxy Trend (Midnight Black, 4 GB)",3.6,1945,0.5,4,10.16,3MP Rear Camera,1500,0,0,4999
370,"SAMSUNG Galaxy E5 (Black, 16 GB)",4.2,1011,1.5,16,12.7,8MP Rear Camera | 5MP Front Camera,2400,0,0,9890
371,"SAMSUNG Galaxy S3 Neo (Black, 16 GB)",4.2,13441,1.5,16,12.19,8MP Rear Camera | 1.9MP Front Camera,2100,0,0,13499
