,Model_name,Ratings,Customers_rated,RAM,Internal_storage,Display_size,Camera,Battery_mAh,Price,Discount,Final_Price
72,"SAMSUNG Galaxy A21s (Blue, 64 GB)",4.2,6867,6.0,64,16.51,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,5000,0,0,19999
73,"SAMSUNG Galaxy M51 (Celestial Black, 128 GB)",4.4,496,8.0,128,17.02,64MP Rear Camera,7000,0,0,25718
74,"SAMSUNG Galaxy A12 (White, 128 GB)",4.2,1663,4.0,128,16.51,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,5000,14999,6,13999
75,"SAMSUNG Galaxy F41 (Fusion Black, 64 GB)",4.3,305200,6.0,64,16.26,64MP + 8MP + 5MP | 32MP Front Camera,6000,19999,20,15999
76,"SAMSUNG Galaxy A70s (Prism Crush Red, 128 GB)",4.4,1100,8.0,128,17.02,64MP + 5MP + 8MP | 32MP Front Camera,4500,0,0,33100
77,"SAMSUNG Galaxy A51 (Haze Crush Silver, 128 GB)",4.3,3749,8.0,128,16.51,48MP + 12MP + 5MP + 5MP | 32MP Front Camera,4000,29999,25,22499
78,"SAMSUNG GALAXY M51 (ELECTRIC BLUE, 128 GB)",4.4,1157,6.0,128,17.02,64MP Rear Camera,7000,0,0,22490
79,"SAMSUNG Galaxy A51 (Haze Crush Silver, 128 GB)",4.3,9563,6.0,128,16.51,48MP + 12MP + 5MP + 5MP | 32MP Front Camera,4000,25999,19,20999
80,"SAMSUNG Galaxy S21 Plus (Phantom Violet, 256 GB)",4.4,162,8.0,256,17.02,64MP + 12MP + 12MP | 10MP Front Camera,4800,104999,27,75999
81,"SAMSUNG Galaxy A12 (White, 64 GB)",4.2,1663,4.0,64,16.51,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,5000,13999,7,12999
82,"SAMSUNG Galaxy A20s (Black, 64 GB)",4.3,1151,4.0,64,16.51,13MP + 8MP + 5MP | 8MP Front Camera,4000,0,0,14750
83,"SAMSUNG Galaxy A32 (Awesome White, 128 GB)",4.2,1285,6.0,128,16.26,64MP + 8MP + 5MP + 5MP | 20MP Front Camera,5000,0,0,20599
84,"SAMSUNG Galaxy A21s (Black, 64 GB)",4.2,20028,4.0,64,16.51,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,5000,0,0,17999
85,"SAMSUNG Galaxy M01 (Black, 32 GB)",4.2,19059,3.0,32,14.48,13MP + 2MP | 5MP Front Camera,4000,9999,15,8499
86,"SAMSUNG Galaxy M31 (Iceberg blue, 128 GB)",4.3,7192,6.0,128,16.26,64MP + 8MP + 5MP + 5MP | 32MP Front Camera,6000,16500,1,16287
87,"SAMSUNG Galaxy A21s (Black, 64 GB)",4.2,6867,6.0,64,16.51,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,5000,0,0,19999
88,"SAMSUNG Galaxy M01s  (Light Blue, 32 GB)",4.2,525,3.0,32,15.75,13MP + 2MP | 8MP Front Camera,4000,0,0,10990
89,"SAMSUNG Galaxy S20+ (Cosmic Gray, 128 GB)",4.4,18874,8.0,128,17.02,64 MP + 12 MP +12 MP + VGA Depth Camera | 10MP Front Camera,4500,83000,33,54999
90,"SAMSUNG M02s (Black, 64 GB)",4.2,726,4.0,64,16.51,13MP + 2MP + 2MP | 5MP Front Camera,5000,0,0,10178
91,"SAMSUNG Galaxy M30S (Quartz Green, 128 GB)",4.3,4133,4.0,128,16.26,48MP Rear Camera,6000,0,0,17490
92,"SAMSUNG Galaxy F62 (Laser Green, 128 GB)",4.2,32728,6.0,128,17.02,64MP + 12MP + 5MP + 5MP | 32MP Front Camera,7000,29999,20,23999
93,"SAMSUNG Galaxy M12 (White, 64 GB)",4.3,1144,4.0,64,16.51,48MP Rear Camera,6000,11998,4,11440
94,"SAMSUNG Galaxy M01 (Red, 32 GB)",4.2,19059,3.0,32,14.48,13MP + 2MP | 5MP Front Camera,4000,9999,15,8499
95,"SAMSUNG Galaxy F02s (Diamond White, 32 GB)",4.2,1131,3.0,32,16.55,13MP + 2MP + 2MP | 5MP Front Camera,5000,10499,14,8999
96,"SAMSUNG Galaxy F02s (Diamond White, 32 GB)",4.2,1131,3.0,32,16.55,13MP + 2MP + 2MP | 5MP Front Camera,5000,10499,14,8999
97,"SAMSUNG Galaxy S20 FE (Cloud Navy, 128 GB)",4.0,500,8.0,128,16.51,12MP + 12MP + 8MP Rear Camera | 32MP Front Camera,4500,65999,42,37990
98,"SAMSUNG Galaxy M31 (Ocean Blue, 64 GB)",4.3,7190,6.0,64,16.26,64MP + 8MP + 5MP + 5MP | 32MP Front Camera,6000,0,0,16299
99,"SAMSUNG M02s (Black, 32 GB)",4.1,354,3.0,32,16.51,13MP + 2MP + 2MP | 5MP Front Camera,5000,9699,7,8965
100,"SAMSUNG Galaxy A50 (Blue, 64 GB)",4.4,11327,6.0,64,16.26,25MP + 5MP + 8MP | 25MP Front Camera,4000,0,0,24000
101,"SAMSUNG Galaxy S21 Plus (Phantom Black, 256 GB)",4.4,162,8.0,256,17.02,64MP + 12MP + 12MP | 10MP Front Camera,4800,104999,27,75999
102,"SAMSUNG Galaxy S21 Plus (Phantom Black, 128 GB)",4.4,162,8.0,128,17.02,64MP + 12MP + 12MP | 10MP Front Camera,4800,100999,28,71999
103,"SAMSUNG Galaxy S20 FE (Cloud White, 128 GB)",4.0,500,8.0,128,16.51,12MP + 12MP + 8MP Rear Camera | 32MP Front Camera,4500,65999,42,37990
104,"SAMSUNG Galaxy S21 Ultra (Phantom Silver, 256 GB)",4.5,493,12.0,256,17.27,108MP + 12MP + 10MP + 10MP | 40MP Front Camera,5000,128999,17,105999
105,"SAMSUNG Galaxy S20 FE (Cloud Lavender, 128 GB)",4.0,500,8.0,128,16.51,12MP + 12MP + 8MP Rear Camera | 32MP Front Camera,4500,65999,42,37990
106,"SAMSUNG Galaxy S21 Plus (Phantom Violet, 128 GB)",4.4,162,8.0,128,17.02,64MP + 12MP + 12MP | 10MP Front Camera,4800,100999,28,71999
107,"SAMSUNG Galaxy M40 (Seawater Blue, 128 GB)",4.2,1201,6.0,128,16.0,32MP Rear Camera,3500,0,0,15490
108,"SAMSUNG Galaxy M40 (Midnight Blue, 128 GB)",4.2,1201,6.0,128,16.0,32MP Rear Camera,3500,0,0,14990
109,"SAMSUNG Galaxy A21s (White, 64 GB)",4.2,6866,6.0,64,16.51,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,5000,0,0,15999
110,"SAMSUNG Galaxy Note 20 Ultra 5G (Mystic Black, 256 GB)",4.5,206,12.0,256,17.53,108MP + 12MP + 12MP | 10MP Front Camera,4500,116000,20,91999
111,"SAMSUNG Galaxy M30 (Gradation Blue, 64 GB)",4.4,4189,4.0,64,16.26,13MP Rear Camera,5000,0,0,13490
112,"SAMSUNG Galaxy M21 (Raven Black, 128 GB)",4.2,1417,6.0,128,16.26,48MP + 8MP + 5MP | 20MP Front Camera,6000,0,0,15990
113,"SAMSUNG Galaxy M30 (Gradation Black, 64 GB)",4.4,4189,4.0,64,16.26,13MP Rear Camera,5000,0,0,13490
114,"SAMSUNG Galaxy S21 Plus (Phantom Silver, 256 GB)",4.4,162,8.0,256,17.02,64MP + 12MP + 12MP | 10MP Front Camera,4800,104999,27,75999
115,"SAMSUNG Galaxy M12 (Black, 128 GB)",4.2,258,6.0,128,16.51,48MP Rear Camera,6000,0,0,14989
116,"SAMSUNG Galaxy A32 (Awesome Blue, 128 GB)",4.2,1282,6.0,128,16.26,64MP + 8MP + 5MP + 5MP | 20MP Front Camera,5000,24999,18,20499
117,"SAMSUNG Galaxy M30S (Blue, 128 GB)",4.3,4133,4.0,128,16.26,48MP + 8MP | 16MP Front Camera,6000,16949,5,15990
118,"SAMSUNG Galaxy M30s (Black, 64 GB)",4.3,4133,4.0,64,16.26,48MP Rear Camera | 16MP Front Camera,6000,0,0,15490
119,"SAMSUNG M01 core (Red, 32 GB)",3.9,7714,2.0,32,13.46,8MP Rear Camera | 5MP Front Camera,3000,0,0,7999
120,"SAMSUNG Galaxy S21 Plus (Phantom Silver, 256 GB)",4.4,162,8.0,256,17.02,64MP + 12MP + 12MP | 10MP Front Camera,4800,104999,27,75999
121,"SAMSUNG Galaxy M30 (Gradation Black, 64 GB)",4.4,4190,4.0,64,16.26,13MP Rear Camera,5000,0,0,13490
122,"SAMSUNG Galaxy A9 (Caviar Black, 128 GB)",4.3,569,8.0,128,16.0,24MP + 5MP + 10MP + 8MP | 24MP Front Camera,3800,28490,1,27990
123,"SAMSUNG Galaxy M30s (Blue, 64 GB)",4.3,4133,4.0,64,16.26,48MP Rear Camera | 16MP Front Camera,6000,0,0,14990
124,"SAMSUNG Galaxy S10 Lite (Prism Black, 512 GB)",4.5,12693,8.0,512,17.02,48MP + 12MP + 5MP | 32MP Front Camera,4500,0,0,45999
125,"SAMSUNG Galaxy A7 (Gold, 64 GB)",4.4,12915,4.0,64,15.24,24MP + 5MP + 8MP | 24MP Front Camera,3300,0,0,22300
126,"SAMSUNG Galaxy M30 (Gradation Blue, 128 GB)",4.3,343,6.0,128,16.26,13MP Rear Camera,5000,0,0,16490
127,"SAMSUNG Galaxy S21 Plus (Phantom Silver, 128 GB)",4.4,162,8.0,128,17.02,64MP + 12MP + 12MP | 10MP Front Camera,4800,100999,28,71999
128,"SAMSUNG Galaxy A70s (Prism Crush White, 128 GB)",4.4,1100,8.0,128,17.02,64MP + 5MP + 8MP | 32MP Front Camera,4500,0,0,33100
129,"SAMSUNG Galaxy A80 (Phantom Black, 128 GB)",4.4,5392,8.0,128,17.02,48MP + 8MP | 48MP(F2.0) + 8MP(Ultra Wide/F2.2) + TOF (Time-of-Flight) 3D-Depth Rotating Camera,3700,0,0,52000
130,"SAMSUNG Galaxy A6+ (Blue, 64 GB)",4.4,4215,4.0,64,15.24,16MP + 5MP | 24MP Front Camera,3500,0,0,25600
131,"SAMSUNG Galaxy Note 20 (Mystic Blue, 256 GB)",4.4,69,8.0,256,17.02,64MP + 12MP + 12MP | 10MP Front Camera,4300,86000,9,77999
132,"SAMSUNG Galaxy Note 9 (Ocean Blue, 512 GB)",4.6,233,8.0,512,16.26,12MP + 12MP | 8MP Front Camera,4000,0,0,93000
133,"SAMSUNG Galaxy S9 Plus (Midnight Black, 64 GB)",4.5,39062,6.0,64,15.75,12MP + 12MP | 8MP Front Camera,3500,0,0,70000
134,"SAMSUNG Galaxy S10 (Prism Blue, 128 GB)",4.6,1811,8.0,128,15.49,16MP + 12MP | 10MP Front Camera,3400,0,0,71000
135,"SAMSUNG Galaxy M21 (Iceberg Blue, 64 GB)",4.3,6921,4.0,64,16.26,48MP + 8MP + 5MP | 20MP Front Camera,6000,0,0,14190
136,"SAMSUNG Galaxy S21 Ultra (Phantom Black, 256 GB)",4.5,493,12.0,256,17.27,108MP + 12MP + 10MP + 10MP | 40MP Front Camera,5000,128999,17,105999
137,"SAMSUNG Galaxy A10s (Green, 32 GB)",4.4,2601,2.0,32,15.75,13MP + 2MP | 8MP Front Camera,4000,0,0,8999
138,"SAMSUNG Galaxy Note 20 (Mystic Bronze, 256 GB)",4.4,69,8.0,256,17.02,64MP + 12MP + 12MP | 10MP Front Camera,4300,86000,9,77999
139,"SAMSUNG Galaxy S10 (Prism White, 512 GB)",4.6,1811,8.0,512,15.49,16MP + 12MP | 10MP Front Camera,3400,0,0,92000
140,"SAMSUNG Galaxy M30 (Gradation Black, 128 GB)",4.3,343,6.0,128,16.26,16MP Rear Camera,5000,0,0,16490
141,"SAMSUNG Galaxy A21s (White, 64 GB)",4.2,20028,4.0,64,16.51,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,5000,0,0,17999
142,"SAMSUNG Galaxy Note 20 (Mystic Green, 256 GB)",4.4,69,8.0,256,17.02,64MP + 12MP + 12MP | 10MP Front Camera,4300,86000,9,77999
143,"SAMSUNG Galaxy Note10 Lite (Aura Glow, 128 GB)",4.3,1544,8.0,128,17.02,12MP + 12MP + 12MP | 32MP Front Camera,4500,0,0,41990
144,"SAMSUNG Galaxy A6 (Gold, 64 GB)",4.4,676,4.0,64,14.22,16MP Rear Camera | 16MP Front Camera,3000,0,0,25500
145,"SAMSUNG Galaxy A7-2017 (Gold Sand, 32 GB)",3.9,278,3.0,32,14.48,16MP Rear Camera | 16MP Front Camera,3600,0,0,25900
146,"SAMSUNG Galaxy A20s (Blue, 64 GB)",4.3,1151,4.0,64,16.51,13MP + 8MP + 5MP | 8MP Front Camera,4000,0,0,14800
147,"SAMSUNG Galaxy Note 20 Ultra 5G (Mystic Bronze, 256 GB)",4.5,206,12.0,256,17.53,108MP + 12MP + 12MP | 10MP Front Camera,4500,116000,20,91999
148,"SAMSUNG Galaxy S20 Ultra (Cosmic Gray, 128 GB)",4.3,92,12.0,128,17.53,108 MP + 48 MP + 12 MP + VGA Depth Camera | 40MP Front Camera,5000,0,0,103000
149,"SAMSUNG Galaxy Note 9 (Metallic Copper, 128 GB)",4.6,2116,6.0,128,16.26,12MP + 12MP | 8MP Front Camera,4000,0,0,69900
150,"SAMSUNG Galaxy A8 Star (Black, 64 GB)",4.3,799,6.0,64,16.0,24MP Rear Camera,3700,0,0,34999
151,"SAMSUNG Galaxy Note 9 (Ocean Blue, 128 GB)",4.6,2116,6.0,128,16.26,12MP + 12MP | 8MP Front Camera,4000,0,0,73645
152,"SAMSUNG Galaxy A6 (Black, 64 GB)",4.4,676,4.0,64,14.22,16MP Rear Camera | 16MP Front Camera,3000,0,0,16990
153,"SAMSUNG Galaxy Note 9 (Midnight Black, 512 GB)",4.6,233,8.0,512,16.26,12MP + 12MP | 8MP Front Camera,4000,0,0,88030
154,"SAMSUNG M01 core (Black, 16 GB)",4.0,6917,1.0,16,13.46,8MP Rear Camera | 5MP Front Camera,3000,0,0,4999
